publisher,license,is_referenced_by_count,link,authors,abstract,title,doi,type,journal,issn,volume,issue,start_page,end_page,publication_date,references,ablation
Inderscience Publishers,,9,,"[{'lastname': 'Kabashin', 'firstname': 'A.V.', 'affiliation': None}, {'lastname': 'Sarnet', 'firstname': 'T.', 'affiliation': None}, {'lastname': 'Grojo', 'firstname': 'D.', 'affiliation': None}, {'lastname': 'Delaporte', 'firstname': 'Ph.', 'affiliation': None}, {'lastname': 'Charmasson', 'firstname': 'L.', 'affiliation': None}, {'lastname': 'Blandin', 'firstname': 'P.', 'affiliation': None}, {'lastname': 'Torres', 'firstname': 'R.', 'affiliation': None}, {'lastname': 'Derrien', 'firstname': 'T.J Y.', 'affiliation': None}, {'lastname': 'Sentis', 'firstname': 'M.', 'affiliation': None}]",,Laser-ablative nanostructuring of surfaces,10.1504/ijnt.2012.045329,journal-article,International Journal of Nanotechnology,1741-8151,9,3/4/5/6/7,230,,2012-01-01,,False
SPIE,,1,,"[{'lastname': 'Lim', 'firstname': 'Chang-Keun', 'affiliation': None}, {'lastname': 'Popov', 'firstname': 'Anton', 'affiliation': None}, {'lastname': 'Tselikov', 'firstname': 'Gleb', 'affiliation': None}, {'lastname': 'Heo', 'firstname': 'Jeongyun', 'affiliation': None}, {'lastname': 'Pliss', 'firstname': 'Artem', 'affiliation': None}, {'lastname': 'Kim', 'firstname': 'Sehoon', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Prasad', 'firstname': 'Paras N.', 'affiliation': None}]",,Laser-ablative synthesis of aggregation-induced enhanced emission luminophore dyes in aqueous solutions,10.1117/12.2513821,proceedings-article,Synthesis and Photonics of Nanoscale Materials XVI,,,,28,,2019-03-04,"['10.1007/s11671-010-9543-z', '10.1021/acs.chemrev.6b00468', '10.1063/1.372421', '10.1063/1.1557752', '10.1016/S0921-5107(02)00651-7', '10.1021/jp953248x', '10.1021/jp0037091', '10.1016/S0169-4332(01)00634-1', '10.1063/1.1626793', '10.1016/j.apsusc.2005.01.137', '10.1039/c3tb20285b', '10.1039/C6TB02623K', '10.1021/acscatal.5b01478', '10.1039/C7RA02255G', '10.1038/s41598-018-38474-7', '10.2217/nnm-2016-0228', '10.1021/ja1044665']",True
Wiley,"[{'start': {'date-parts': [[2019, 4, 29]], 'date-time': '2019-04-29T00:00:00Z', 'timestamp': 1556496000000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'http://onlinelibrary.wiley.com/termsAndConditions#vor'}]",18,"[{'URL': 'https://onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.201902692', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://onlinelibrary.wiley.com/doi/full-xml/10.1002/adfm.201902692', 'content-type': 'application/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.201902692', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Kravets', 'firstname': 'Vasyl G.', 'affiliation': None}, {'lastname': 'Wu', 'firstname': 'Fan', 'affiliation': None}, {'lastname': 'Imaizumi', 'firstname': 'Shinji', 'affiliation': None}, {'lastname': 'Shipunova', 'firstname': 'Victoria O.', 'affiliation': None}, {'lastname': 'Deyev', 'firstname': 'Sergey M.', 'affiliation': None}, {'lastname': 'Grigorenko', 'firstname': 'Alexander N.', 'affiliation': None}]","Light scattered by an object contains plethora information about the object which is distributed evenly among all possible Fourier components of light observed in the far‐field. There are some cases, however, where this information is accumulated in the light confined by the object and then encoded in just a few coherent optical beams. Here, Fourier nanotransducers based on 2D plasmonic metamaterials are introduced, which are capable of confining light in 2D plane contacting with a functional interface, gathering information about its properties, and then transmitting the information into discrete optical beams with amplified phase relations. It is shown that phase of light in such beams can be used for probing dynamic physical properties of 2D materials and performing bio/chemical sensing with unprecedented sensitivity. Using a Fourier transducer based on periodic gold nanostructures, ferroelectric response from a single atomic layer of MoS2 is resolved and studied for the first time, as well as the detection of important antibiotic chloramphenicol at fg mL−1 level is demonstrated, which several orders of magnitude better than reported in the literature. The implementation of phase‐responsive Fourier nanotransducers opens new avenues in exploration of emergent 2D structures and radical improvement of biosensing technology.",Phase‐Responsive Fourier Nanotransducers for Probing 2D Materials and Functional Interfaces,10.1002/adfm.201902692,journal-article,Advanced Functional Materials,1616-3028,29,26,,,2019-04-29,"['10.1039/c0cs00184h', '10.1038/nature04242', '10.1038/nmat2810', '10.1021/acs.chemrev.8b00243', '10.1126/science.1210713', '10.1126/science.1232009', '10.1038/161777a0', '10.1126/science.121.3141.345', '10.1103/PhysRevLett.116.061102', '10.1038/nphoton.2014.9', '10.1038/nature12385', '10.1038/nature22060', '10.1038/nature22391', '10.1016/j.aca.2008.05.022', '10.1364/OE.17.021191', '10.1364/OL.35.000956', '10.1038/nmat3537', '10.1063/1.125493', '10.1364/AO.4.001275', '10.1038/s41699-018-0063-5', '10.1038/s41598-017-04224-4', '10.1103/PhysRevB.88.245428', '10.1103/PhysRevLett.112.157601', '10.1038/srep45196', '10.1103/PhysRevB.44.3955', '10.1038/s41557-018-0035-6', '10.1103/PhysRevB.33.6976', '10.1016/S0925-4005(03)00107-2', '10.1016/j.bios.2010.06.012', '10.1016/j.ab.2009.04.003', '10.1016/j.talanta.2017.02.061', '10.1016/j.aca.2014.01.021', '10.1021/jf060275j', '10.1038/nmeth.1221', '10.1016/j.trac.2016.04.004', '10.1586/14789450.2014.965159', '10.3390/s131013928', '10.4315/0362-028X-72.8.1774']",False
Allerton Press,"[{'start': {'date-parts': [[2021, 7, 1]], 'date-time': '2021-07-01T00:00:00Z', 'timestamp': 1625097600000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.springer.com/tdm'}, {'start': {'date-parts': [[2021, 7, 1]], 'date-time': '2021-07-01T00:00:00Z', 'timestamp': 1625097600000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'https://www.springer.com/tdm'}]",5,"[{'URL': 'https://link.springer.com/content/pdf/10.3103/S1068335621070058.pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://link.springer.com/article/10.3103/S1068335621070058/fulltext.html', 'content-type': 'text/html', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://link.springer.com/content/pdf/10.3103/S1068335621070058.pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Tikhonowski', 'firstname': 'G. V.', 'affiliation': None}, {'lastname': 'Popova-Kuznetsova', 'firstname': 'E. A.', 'affiliation': None}, {'lastname': 'Aleshchenko', 'firstname': 'Yu. A.', 'affiliation': None}, {'lastname': 'Klimentov', 'firstname': 'S. M.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'A. V.', 'affiliation': None}, {'lastname': 'Popov', 'firstname': 'A. A.', 'affiliation': None}]",,Effect of Oxygen on Colloidal Stability of Titanium Nitride Nanoparticles Synthesized by Laser Ablation in Liquids,10.3103/s1068335621070058,journal-article,Bulletin of the Lebedev Physics Institute,1934-838X,48,7,216,220,2021-07-01,"['10.1016/S0020-7063(11)00063-X', '10.1021/acs.chemrev.6b00468', '10.1002/jbio.201700225', '10.2217/nnm-2016-0228', '10.1038/s41598-019-48748-3', '10.1021/acscatal.5b01478', '10.1016/j.jfoodeng.2017.05.007', '10.1007/s11051-019-4523-4', '10.1002/smll.201303372', '10.1038/s41598-018-37519-1', '10.1016/j.biomaterials.2017.04.007', '10.1039/C8NH00299A', '10.1364/OL.404304', '10.1016/j.msec.2020.111717', '10.1021/jp047134']",True
Optica Publishing Group,"[{'start': {'date-parts': [[2020, 12, 10]], 'date-time': '2020-12-10T00:00:00Z', 'timestamp': 1607558400000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'https://doi.org/10.1364/OA_License_v1#VOR'}, {'start': {'date-parts': [[2020, 12, 10]], 'date-time': '2020-12-10T00:00:00Z', 'timestamp': 1607558400000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://opg.optica.org/policies/opg-tdm-policy.json'}]",13,"[{'URL': 'https://opg.optica.org/viewmedia.cfm?URI=ol-45-24-6695&seq=0', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Maldonado', 'firstname': 'Melissa E.', 'affiliation': None}, {'lastname': 'Das', 'firstname': 'Avishek', 'affiliation': None}, {'lastname': 'Gomes', 'firstname': 'Anderson S. L.', 'affiliation': None}, {'lastname': 'Popov', 'firstname': 'Anton A.', 'affiliation': None}, {'lastname': 'Klimentov', 'firstname': 'Sergey M.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}]","A nonlinear photoacoustic (PA) response from solutions of 40 nmplasmonic titanium nitride nanoparticles (NPs) synthesized by laserablation in a liquid environment (acetone) is reported. Using aphotoacoustic Z-scan with 5 ns pumping pulses, values of effectivenonlinear absorption (NLA) coefficients             β          PA,eff                 were measured and found to be3.27±0.17 × 10-8, 6.41±0.32 × 10-8, and3.22±0.16 × 10-8 for 600, 700, and 800 nm pumpingwavelengths, respectively. To take into account the influence ofnonlinear scattering, absorption-dependent PA measurements werecarried out together with the optical Z-scan, and the obtained datawere compared. The origin of the effective absorptive nonlinearity isdiscussed based on combined NLA in NPs, nonlinear scattering, andbubble generation triggered by NP-mediated light absorption. Potentialapplications include biomedical diagnostics and therapy.",Nonlinear photoacoustic response of suspensions of laser-synthesized plasmonic titanium nitride nanoparticles,10.1364/ol.404304,journal-article,Optics Letters,1539-4794,45,24,6695,,2020-12-10,"['10.1039/b209685d', '10.1515/nanoph-2015-0017', '10.1038/srep38647', '10.1021/acs.jpcc.5b09604', '10.1016/j.photonics.2018.04.005', '10.1364/OE.24.001143', '10.1039/D0SE00049C', '10.1007/s10853-018-03272-z', '10.1016/j.biomaterials.2017.04.007', '10.1039/C8NH00299A', '10.1088/0957-4484/21/31/315101', '10.1039/C4NR00708E', '10.1088/1612-2011/11/8/085401', '10.1364/OME.5.002395', '10.1088/0957-0233/23/1/012001', '10.1117/1.JBO.23.12.125002', '10.1364/OE.17.002538', '10.3390/ma12040562', '10.1364/OE.18.009020', '10.1063/1.4789870', '10.1038/s41598-018-37519-1', '10.1021/acscatal.5b01478', '10.1038/s41598-019-48748-3', '10.1038/srep25400', '10.1039/C6TB02623K', '10.1021/ac0702084', '10.1039/C4AN00978A', '10.1007/s12274-010-0045-1', '10.1177/1091581812465969', '10.1002/pssb.19660150224', '10.3390/app10010199', '10.1088/0034-4885/79/3/036401', '10.1021/acs.jpcc.9b01369', '10.3390/jimaging4120146']",True
Elsevier BV,"[{'start': {'date-parts': [[2018, 5, 1]], 'date-time': '2018-05-01T00:00:00Z', 'timestamp': 1525132800000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.elsevier.com/tdm/userlicense/1.0/'}]",117,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0956566317307996?httpAccept=text/xml', 'content-type': 'text/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0956566317307996?httpAccept=text/plain', 'content-type': 'text/plain', 'content-version': 'vor', 'intended-application': 'text-mining'}]","[{'lastname': 'Danilov', 'firstname': 'Artem', 'affiliation': None}, {'lastname': 'Tselikov', 'firstname': 'Gleb', 'affiliation': None}, {'lastname': 'Wu', 'firstname': 'Fan', 'affiliation': None}, {'lastname': 'Kravets', 'firstname': 'Vasyl G.', 'affiliation': None}, {'lastname': 'Ozerov', 'firstname': 'Igor', 'affiliation': None}, {'lastname': 'Bedu', 'firstname': 'Frederic', 'affiliation': None}, {'lastname': 'Grigorenko', 'firstname': 'Alexander N.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}]",,Ultra-narrow surface lattice resonances in plasmonic metamaterial arrays for biosensing applications,10.1016/j.bios.2017.12.001,journal-article,Biosensors and Bioelectronics,0956-5663,104,,102,112,2018-05-01,"['10.1038/nmat2162', '10.1038/srep25380', '10.1103/PhysRevLett.101.143902', '10.1021/la0493621', '10.1063/1.3012365', '10.1038/nphoton.2008.78', '10.1063/1.125493', '10.1021/ja020393x', '10.1002/andp.201200203', '10.1021/nn202013v', '10.1016/S0956-5663(98)00088-8', '10.1070/QE1997v027n07ABEH001013', '10.1016/S0925-4005(98)00326-8', '10.1038/nmat2546', '10.1364/OE.17.021191', '10.1038/nphoton.2009.111', '10.1103/PhysRevLett.101.087403', '10.1364/OL.35.000956', '10.1038/nmat3537', '10.1016/j.bios.2007.07.015', '10.1364/OE.23.008995', '10.1016/0250-6874(83)85036-7', '10.1021/cr100313v', '10.1364/JOSAB.25.001673', '10.1126/science.275.5303.1102', '10.1364/OE.20.027941', '10.1021/nn201227b', '10.1364/AO.42.006905', '10.1016/S0925-4005(03)00034-0', '10.1021/acsphotonics.7b01062', '10.1007/s11468-015-9959-5', '10.1038/nmat4609', '10.1021/ph5002186', '10.1049/el:19881004', '10.1021/jz300318v', '10.1038/nnano.2011.72']",False
IOP Publishing,"[{'start': {'date-parts': [[2021, 10, 1]], 'date-time': '2021-10-01T00:00:00Z', 'timestamp': 1633046400000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'http://creativecommons.org/licenses/by/3.0/'}, {'start': {'date-parts': [[2021, 10, 1]], 'date-time': '2021-10-01T00:00:00Z', 'timestamp': 1633046400000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://iopscience.iop.org/info/page/text-and-data-mining'}]",0,"[{'URL': 'https://iopscience.iop.org/article/10.1088/1742-6596/2058/1/012010', 'content-type': 'text/html', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://iopscience.iop.org/article/10.1088/1742-6596/2058/1/012010/pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://iopscience.iop.org/article/10.1088/1742-6596/2058/1/012010/pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'syndication'}, {'URL': 'https://iopscience.iop.org/article/10.1088/1742-6596/2058/1/012010/pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Tikhonowski', 'firstname': 'G V', 'affiliation': None}, {'lastname': 'Popov', 'firstname': 'A A', 'affiliation': None}, {'lastname': 'Popova-Kuznetsova', 'firstname': 'E A', 'affiliation': None}, {'lastname': 'Klimentov', 'firstname': 'S M', 'affiliation': None}, {'lastname': 'Prasad', 'firstname': 'P N', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'A V', 'affiliation': None}]","Nanoformulations of high-Z elements can improve therapeutic outcome in radiotherapy-based treatment of tumors, but current nanomedicine implementations in radiotherapy still need biocompatible, non-toxic nano-agents exhibiting low polydispersity and high colloidal stability. Here, we elaborate methods of femtosecond (fs) laser ablation in water and organic solvents to fabricate stable aqueous colloidal solutions of ultrapure elemental Bi nanoparticles (NPs) and characterize them. We show that fs laser ablation of Bi target leads to the formation of spherical elemental Bi NPs having 25 nm mean size and wide size-dispersion. NPs prepared in water undergo fast conversion into 400-500 nm flake-like nanosheets, while NPs prepared in acetone demonstrate a high colloidal stability. We then employ methods of fs laser fragmentation to control mean size and size dispersion of Bi NPs. Stable aqueous solution of Bi NPs suitable for biomedical applications can be obtained by coating with Pluronic® F-127. We finally show that surface modification of Bi NPs increases its colloidal stability in phosphate buffer saline (PBS) solution by more than 6 fold. Exempt of any toxic synthetic by-products, laser-ablated Bi NPs present a novel appealing nanoplatform for image-guided combination photo- and radiotherapy.",Laser-ablative synthesis of stable size-tunable Bi nanoparticles and their functionalization for radiotherapy applications,10.1088/1742-6596/2058/1/012010,journal-article,Journal of Physics: Conference Series,1742-6596,2058,1,012010,,2021-10-01,"['10.1002/adma.201300081', '10.1021/acs.chemmater.8b00565', '10.1021/acsnano.7b00476', '10.1002/adma.201700996', '10.1002/cmmi.1613', '10.1016/j.biomaterials.2017.10.048', '10.1016/j.cej.2019.122720', '10.1021/ja4033549', '10.1016/j.porgcoat.2005.07.003', '10.1016/j.matchar.2006.02.005', '10.1093/clinids/12.Supplement_1.S3', '10.1021/cm8004425', '10.1007/s11051-008-9541-6', '10.1021/acsami.6b03640', '10.1038/s41598-019-48748-3', '10.1038/srep25400', '10.1021/acsnano.9b04610', '10.1038/s41598-018-37519-1', '10.1166/sam.2012.1310', '10.1007/s11671-010-9543-z', '10.1021/acs.chemrev.6b00468', '10.1021/jp0037091', '10.1063/1.1626793', '10.1021/acscatal.5b01478', '10.3390/nano10010069', '10.1117/12.2551432', '10.1007/s00339-016-9992-z', '10.1016/j.materresbull.2017.09.029', '10.1007/s00339-018-1817-9', '10.1016/j.mspro.2015.11.027', '10.1016/j.tiv.2018.07.003', '10.1016/j.colsurfa.2014.06.013', '10.3390/nano10081463']",True
American Chemical Society (ACS),,73,"[{'URL': 'https://pubs.acs.org/doi/pdf/10.1021/acscatal.5b01478', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Hebié', 'firstname': 'Seydou', 'affiliation': None}, {'lastname': 'Holade', 'firstname': 'Yaovi', 'affiliation': None}, {'lastname': 'Maximova', 'firstname': 'Ksenia', 'affiliation': None}, {'lastname': 'Sentis', 'firstname': 'Marc', 'affiliation': None}, {'lastname': 'Delaporte', 'firstname': 'Philippe', 'affiliation': None}, {'lastname': 'Kokoh', 'firstname': 'Kouakou Boniface', 'affiliation': None}, {'lastname': 'Napporn', 'firstname': 'Teko W.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}]",,Advanced Electrocatalysts on the Basis of Bare Au Nanomaterials for Biofuel Cell Applications,10.1021/acscatal.5b01478,journal-article,ACS Catalysis,2155-5435,5,11,6489,6496,2015-10-02,"['10.1021/cr020719k', '10.1021/ja0163164', '10.1038/ncomms1365', '10.1038/35104620', '10.1126/science.298.5602.2407', '10.1039/b313149a', '10.1016/j.elecom.2008.10.047', '10.1038/nmat3668', '10.1021/cs400643f', '10.1002/cphc.201000294', '10.1021/ja049038s', '10.1021/jp401009r', '10.1007/s12678-011-0064-z', '10.1039/c39940000801', '10.1021/cm0492336', '10.1021/cm303708p', '10.1007/s13404-013-0119-4', '10.1021/jp061667w', '10.1021/j100198a004', '10.1021/jp971656q', '10.1016/S0167-577X(03)00504-4', '10.1007/s12678-011-0037-2', '10.1007/s11671-010-9543-z', '10.1063/1.1626793', '10.1088/1742-6596/59/1/074', '10.1007/s00339-007-4001-1', '10.1088/0957-4484/26/6/065601', '10.1021/la204839m', '10.1021/jp047134+', '10.1039/c3cc40363g', '10.1021/cs400639b', '10.1166/jnn.2014.9267', '10.1016/S0022-0728(99)00154-0', '10.1021/cg070635a', '10.1149/2.001211jes', '10.1166/jnn.2009.SE38', '10.1016/j.jelechem.2004.02.013', '10.1016/0013-4686(92)80058-T', '10.1016/0021-9517(86)90282-4', '10.1016/j.jelechem.2004.12.007', '10.1149/1.1836536', '10.1016/j.jelechem.2003.12.022', '10.1016/0022-0728(89)87164-5', '10.1016/0013-4686(92)87004-J', '10.1016/j.ijhydene.2011.03.042', '10.1002/adma.201104951', '10.1007/s10008-011-1501-x', '10.1016/j.apcatb.2013.12.026', '10.1016/j.jpowsour.2015.04.083', '10.1039/c1cc11784j', '10.1023/A:1020181423055', '10.1126/science.281.5383.1647', '10.1126/science.211.4487.1121', '10.1016/j.susc.2004.06.047', '10.1016/0022-0728(93)80354-K', '10.1016/0022-0728(88)80171-2', '10.1016/0013-4686(93)85058-7']",True
Royal Society of Chemistry (RSC),"[{'start': {'date-parts': [[2021, 9, 15]], 'date-time': '2021-09-15T00:00:00Z', 'timestamp': 1631664000000}, 'content-version': 'am', 'delay-in-days': 623, 'URL': 'http://rsc.li/journals-terms-of-use'}]",12,"[{'URL': 'http://pubs.rsc.org/en/content/articlepdf/2020/CY/D0CY01323D', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Holade', 'firstname': 'Yaovi', 'affiliation': None}, {'lastname': 'Hebié', 'firstname': 'Seydou', 'affiliation': None}, {'lastname': 'Maximova', 'firstname': 'Ksenia', 'affiliation': None}, {'lastname': 'Sentis', 'firstname': 'Marc', 'affiliation': None}, {'lastname': 'Delaporte', 'firstname': 'Philippe', 'affiliation': None}, {'lastname': 'Kokoh', 'firstname': 'Kouakou Boniface', 'affiliation': None}, {'lastname': 'Napporn', 'firstname': 'Teko W.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}]",Laser-synthesized PdAu nanoparticles demonstrate a strong synergetic effect on glucose oxidation combining high catalytic activity with ultrafast kinetics at low potentials.,Bare laser-synthesized palladium–gold alloy nanoparticles as efficient electrocatalysts for glucose oxidation for energy conversion applications,10.1039/d0cy01323d,journal-article,Catalysis Science &amp; Technology,2044-4761,10,23,7955,7964,2020-01-01,"['10.1021/cr020719k', '10.1021/ja0163164', '10.1149/1.1391909', '10.1039/C9CY02446H', '10.1002/cssc.201501593', '10.1016/j.elecom.2008.10.047', '10.1149/2.0311809jes', '10.1002/cphc.201000294', '10.1021/ja049038s', '10.1016/j.apcatb.2020.119269', '10.1021/acscatal.8b03447', '10.1021/cm0492336', '10.1021/cm303708p', '10.1007/s13404-013-0119-4', '10.1021/jp401009r', '10.1063/1.1626793', '10.1088/0957-4484/26/6/065601', '10.1038/s41598-019-48748-3', '10.1002/jbio.201700225', '10.1038/s41598-018-37519-1', '10.1021/acscatal.5b01478', '10.1021/jz301476w', '10.1016/j.physleta.2009.06.057', '10.1070/RC1995v064n10ABEH000188', '10.1021/jp710915g', '10.1021/ja044446h', '10.1002/elan.201200540', '10.1016/j.elecom.2011.01.028', '10.1016/j.apcatb.2011.07.039', '10.1016/j.elecom.2007.11.036', '10.1016/j.electacta.2012.05.043', '10.1038/srep25400', '10.1038/s41598-018-38474-7', '10.1016/S0304-3991(03)00119-0', '10.1007/s12678-013-0138-1', '10.1021/acs.jpcc.5b04352', '10.1021/jp902741z', '10.1002/elan.201400653', '10.1007/s10800-011-0318-8', '10.1016/S0013-4686(03)00270-6', '10.1016/S0022-0728(72)80445-5', '10.1039/b924656h', '10.1149/2.001211jes', '10.1016/j.ijhydene.2011.03.042', '10.1002/adma.201104951', '10.1016/j.apcatb.2013.12.026', '10.1002/celc.201402436', '10.1016/j.jcat.2011.12.011', '10.1016/j.apcatb.2009.06.021', '10.1016/j.ijhydene.2010.07.172', '10.1016/0022-0728(88)80171-2', '10.1016/0022-0728(93)80354-K', '10.1039/B612040G', '10.1002/celc.201402142', '10.1134/S1023193510020102', '10.1002/elan.201400440', '10.1002/adfm.200400321', '10.1002/chem.200400981', '10.1002/cctc.201900666', '10.1364/OL.41.001486']",True
MDPI AG,"[{'start': {'date-parts': [[2020, 7, 26]], 'date-time': '2020-07-26T00:00:00Z', 'timestamp': 1595721600000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'https://creativecommons.org/licenses/by/4.0/'}]",46,"[{'URL': 'https://www.mdpi.com/2079-4991/10/8/1463/pdf', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Bulmahn', 'firstname': 'Julia C.', 'affiliation': None}, {'lastname': 'Tikhonowski', 'firstname': 'Gleb', 'affiliation': None}, {'lastname': 'Popov', 'firstname': 'Anton A.', 'affiliation': None}, {'lastname': 'Kuzmin', 'firstname': 'Andrey', 'affiliation': None}, {'lastname': 'Klimentov', 'firstname': 'Sergey M.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Prasad', 'firstname': 'Paras N.', 'affiliation': None}]","Elemental bismuth (Bi) nanoparticles (NPs), with the high atomic density of the Bi nuclei, could serve as efficient targeted agents for cancer treatment, with applications such as contrast agents for computed tomography (CT) imaging, sensitizers for image-guided X-ray radiotherapy, and photothermal therapy. However, the synthesis of elemental Bi NPs suitable for biological applications is difficult using conventional chemical routes. Here, we explore the fabrication of ultrapure Bi-based nanomaterials by femtosecond laser ablation from a solid Bi target in ambient liquids and characterize them by a variety of techniques, including TEM, SEM, XRD, FTIR, Raman, and optical spectroscopy. We found that laser-ablative synthesis using an elemental Bi solid target leads to the formation of spherical Bi NPs having the mean size of 20–50 nm and a low size-dispersion. The NPs prepared in water experience a fast (within a few minutes) conversion into 400–500 nm flake-like nanosheets, composed of bismuth subcarbonates, (BiO)2CO3 and (BiO)4CO3(OH)2, while the NPs prepared in acetone demonstrate high elemental stability. We introduce a procedure to obtain a stable aqueous solution of elemental Bi NPs suitable for biological applications, based on the coating of Bi NPs prepared in acetone with Pluronic® F68 and their subsequent transfer to water. We also show that the laser-synthesized elemental Bi NPs, due to their vanishing band gap, exhibit remarkable absorption in the infrared range, which can be used for the activation of photothermal therapy in the near IR-to-IR window with maximum optical transparency in biological media. Exempt of any toxic synthetic by-products, laser-ablated elemental Bi NPs present a novel appealing nanoplatform for combination image-guided photoradiotherapies.",Laser-Ablative Synthesis of Stable Aqueous Solutions of Elemental Bismuth Nanoparticles for Multimodal Theranostic Applications,10.3390/nano10081463,journal-article,Nanomaterials,2079-4991,10,8,1463,,2020-07-26,"['10.1002/adma.201300081', '10.1021/acs.chemmater.8b00565', '10.1021/acsnano.7b00476', '10.1002/adma.201700996', '10.1002/cmmi.1613', '10.1016/j.biomaterials.2017.10.048', '10.1016/j.cej.2019.122720', '10.1093/clinids/12.Supplement_1.S3', '10.1021/cm8004425', '10.1007/s11051-008-9541-6', '10.1021/acsami.6b03640', '10.1007/s11671-010-9543-z', '10.1021/acs.chemrev.6b00468', '10.1021/jp0037091', '10.1063/1.1626793', '10.1021/acscatal.5b01478', '10.1038/s41598-019-48748-3', '10.1038/srep25400', '10.1021/acsnano.9b04610', '10.1038/s41598-018-37519-1', '10.3390/nano10010069', '10.1166/sam.2012.1310', '10.1007/s00339-016-9992-z', '10.1016/j.materresbull.2017.09.029', '10.1007/s00339-018-1817-9', '10.1016/j.mspro.2015.11.027', '10.1016/j.solidstatesciences.2014.01.010', '10.1039/c2ce06677g', '10.1039/C5TA00103J', '10.1016/0022-4596(92)90040-3', '10.1364/OME.4.002133', '10.1139/v84-484', '10.1021/jp046423v', '10.1021/jp4065505', '10.1038/srep23435', '10.1021/cs501038q']",True
